Function Evaluation,Energy (Hartree)
1,-1634.496289671056
2,-1634.6157337291677
3,-1634.863031107472
4,-1634.8488884086794
5,-1634.8416995211392
6,-1634.9154034144558
7,-1634.9634786491258
8,-1634.978793534128
9,-1634.9660914959622
10,-1634.979737141282
11,-1634.9532251084129
12,-1634.9684658341546
13,-1634.9659138444981
14,-1634.953379024677
15,-1634.982071825036
16,-1634.946972605621
17,-1634.9883558127892
18,-1634.9512783967532
19,-1634.9843912297642
20,-1634.9343127400764
21,-1635.0104027485572
22,-1634.983925494173
23,-1635.0059217895223
24,-1634.9625426415842
25,-1634.9774470143077
26,-1635.0076778857351
27,-1634.974494629416
28,-1634.987734817689
29,-1634.9914845518756
30,-1634.97881593065
31,-1634.968422748897
32,-1634.9857447828422
33,-1634.9896197830035
34,-1635.0647615806827
35,-1635.0880149803743
36,-1635.0957861410313
37,-1635.0609586699904
38,-1634.923456575608
39,-1635.0782524279493
40,-1635.1479846143911
41,-1635.1400538075043
42,-1635.1633142262567
43,-1635.1494548834494
44,-1635.170192058073
45,-1635.1583367617786
46,-1635.1691983791652
47,-1635.1435350322463
48,-1635.159286789618
49,-1635.1812158227851
50,-1635.2530887045107
