Molecular Weight,AlogP,#RO5 Violations,Standard Type,Smiles,Standard Value,Name,Predicted_Effectiveness
493.92207831074774,-0.3729572981327842,2,Activity,CC(C)CNc1cc(NS(=O)(=O)c2cccc(C3CCOCC3)c2)cc2c(Cl)[nH]nc12,0.0,Generated_Neisseria_meningitidis_001,0.7822570179096883
787.19254636721,-0.5052008961160879,2,MIC,CCCC/C=C/C(=O)N[C@@H](Cc1cc(F)cc(FO)c1)C(=O)N[C@@H]1C(=O)N2CCO[C@H]2C(=O)N2CC[C@H](C)C[C@H]2C(=O)N[C@@H](C)C(=O)N2C[C@H](C)C[C@H]2C(=O)O[C@H]1C,0.125,Generated_Neisseria_meningitidis_002,0.7523264941814068
463.21457647617154,0.6172204536737351,0,Activity,CCC/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2C[C@@H](C)CN2C(=O)[C@H](C)NC(=O)[C@H](C)N(CC)C(=O)[C@@H]2CCCN2C1=O,0.0,Generated_Neisseria_meningitidis_003,0.8307940344952836
469.9560647339138,2.2968262619910416,2,MIC,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4NC[C@@]32C)/C1=C(\CCC=C(C)O)C(=O)O,0.06,Generated_Neisseria_meningitidis_004,0.6522285740304047
976.2001243427055,1.1237612840990554,3,MIC,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](CC(O)(Cl)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(/C(=O)O)C(O)CC=C(C)C,0.002,Generated_Neisseria_meningitidis_005,0.624227791164643
1276.8181975593548,4.494850589862178,1,MIC,COc1cc(O)c2c(F)(c1C)C(=O)O(N)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](CO)CSC2,0.125,Generated_Neisseria_meningitidis_006,0.6404484861149126
947.6971092254483,0.8680288124961384,2,MIC,COC(=O)[C@@H]1CSCC2C(N)OC(O)CC2C(=O)OCC(NC(=O)OC(C)(C)C)C(=O)N1,0.032,Generated_Neisseria_meningitidis_007,0.7567987883835824
497.0516224847984,2.9177694097870104,0,MIC90,COC(=O)[C@@H]1CSCc2c(O)cc(O)c(C)c2C(=O)OCSC(=O)N1,0.008,Generated_Neisseria_meningitidis_008,0.6888607431700755
965.3747704682423,6.421889331855205,2,MIC,CC(=O)(O)NCC1(F)CN(c2ccc(N3CC[Si](C)(C)CC3)c(F)c2)C(=O)O1,0.094,Generated_Neisseria_meningitidis_009,0.6305365089963206
705.7825185793419,0.8436203695238336,1,MIC,CC(NCc1ccc(-c2csc(NC(=N)NCC3CCCSC3)n2)o1)=OCl,2.9e-05,Generated_Neisseria_meningitidis_010,0.8227015265127477
